Id,Name,Code,City,Oceans insights code,Latitude,Longitude,Bigschedules,Created at,Updated at,Port type,Hub port,Ocean insights
74,Savannah,USSAV,69,,32.0835407,-81.0998342,P440,2007-06-30 12:11:55 +0200,2017-08-07 04:02:37 +0200,seaport,false,
2074,Savona,ITSVN,1469,,44.3425496,8.4293891,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2283,Scarborough,GBSCA,1680,,54.283113,-0.399752,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1718,Scheveningen,NLSCE,1114,,52.1024015,4.3021834,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,true,
1797,Schiedam,NLSCI,1193,,51.9169599,4.3988186,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,true,
2232,Schwelgern,DESGW,1628,,51.5062207,6.7444696,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
73,Seattle,USSEA,68,,47.6062095,-122.3320708,P441,2007-06-30 12:11:55 +0200,2017-07-04 06:08:05 +0200,seaport,false,
89,Semarang,IDSRG,85,,-7.0051453,110.4381254,P215,2007-06-30 12:11:55 +0200,2017-07-04 06:13:16 +0200,seaport,false,
1994,Sembawang,SGSEM,1389,,1.4491107,103.8184954,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1235,Sendai,JPSDJ,654,,38.268215,140.8693558,P258,2007-06-30 12:11:55 +0200,2017-09-04 16:26:50 +0200,seaport,false,
1236,Sendai-Shiogama,JPSGM,655,,38.2664653,140.8738471,P2325,2007-06-30 12:11:55 +0200,2017-10-04 11:02:11 +0200,seaport,false,
2625,Seoul,KRSEL,1966,,37.566535,126.9779692,P1781,2007-06-30 12:11:55 +0200,2017-09-04 16:25:52 +0200,seaport,false,
1789,Sete,FRSET,1185,,43.4078758,3.7008219,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1237,Setúbal,PTSET,656,,38.5240933,-8.8925876,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1723,Sevastopol,UASVP,1119,,44.61665,33.525367,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1238,Sevilla,ESSVQ,657,,37.3890924,-5.9844589,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1855,Seward,USSWD,1250,,60.1041667,-149.4422222,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
10,Shanghai,CNSHA,10,,31.2303904,121.4737021,P102,2007-06-30 12:11:55 +0200,2017-07-12 04:32:06 +0200,seaport,false,
2626,Shangqui (henan),CNSHG,1967,,34.414961,115.656339,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
2627,Shangyu (zhenjiang),CNSHY,1968,,30.03312,120.868122,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1239,Shantou,CNSTG,93,,23.354091,116.681972,P3121,2007-06-30 12:11:55 +0200,2017-07-04 06:18:06 +0200,seaport,false,
1817,Shanwei,CNSWE,1213,,22.786186,115.375158,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1589,Shao Xing,CNSXG,996,,29.995762,120.586109,P2695,2007-06-30 12:11:55 +0200,2017-11-09 14:32:05 +0100,seaport,false,
1240,Sharjah,AESHJ,658,,25.3462553,55.4209317,P402,2007-06-30 12:11:55 +0200,2017-07-04 06:01:01 +0200,seaport,false,
2628,Shashi (hubei),CNSHS,1969,,30.311056,112.255583,P572,2007-06-30 12:11:55 +0200,2017-09-01 01:06:55 +0200,seaport,false,
2278,Sheerness,GBSHS,1675,,51.44011,0.764158,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
1621,Shekou,CNSHK,6,,22.483182,113.916509,P105,2007-06-30 12:11:55 +0200,2017-07-04 06:11:34 +0200,seaport,false,
2629,Sheng yang,CNSHE,1970,,41.805699,123.431472,P5768,2007-06-30 12:11:55 +0200,2017-09-01 01:07:28 +0200,seaport,false,
2630,Shengxian (zhenjiang),CNSHX,1971,,32.1469412,119.881336,,2007-06-30 12:11:55 +0200,2007-06-30 12:11:55 +0200,seaport,false,
